year,player,pff_id,rush_grade,rec_grade,team
2016,Micky Crum,210,,54.7,LOUISVILLE
2016,Jeffrey Coprich,156,,48.2,E CAROLINA
2016,Dontavian Lee,227,,58.4,MISS STATE
2016,Leon Thornton,190,,58.5,INDIANA
2016,Jean-Andre Moore,330,,55.7,UTEP
2016,Zarrian Holcombe,187,,44.7,ILLINOIS
2016,Tyler Hanneke,229,,67.4,MISSOURI
2016,Justin Rice,169,,33.2,FRESNO ST
2016,Denzel Jones Jr.,102,,76.7,AKRON
2016,D'erren Wilson,323,,71.3,UCF
2016,R.J. Tyler,136,,43,CHARLOTTE
2016,Darick Holmes Jr.,109,,55.4,ARIZONA
2016,Chancellor Triplett,175,,56.8,GA STATE
2016,Caleb Roddy,211,,55.4,LSU
2016,Cole Blackman,335,,56,VIRGINIA
2016,Brandon Rodgers,214,,53.5,MARSHALL
2016,Mac Carey,166,,55,FIU
2016,Kaleb Harris,214,,44.1,MARSHALL
2016,Malcolm Dotson,273,,52.7,PURDUE
2016,Devonte Young,192,,53.6,IOWA
2016,Luke Peterman,114,,55.1,ARMY
2016,Michael Garner,185,,59.1,IDAHO
2016,Tim Helton,259,,53.7,OHIO
2016,Andre Petties-Wilson,305,,45.2,TCU
2016,Jabari Greenwood,202,,49.4,KENTUCKY
2016,Raphael Barr,288,,55.6,S ALABAMA
2016,Lemar Harris,160,,59.6,E MICHIGAN
2016,John Freismuth,144,,56.2,COLO STATE
2016,Josh Malin,118,,48.3,BAYLOR
2016,Jordan Jones,331,,54.2,UTSA
2016,Michael Carroll,305,,45.1,TCU
2016,Gio Pascascio,210,,53.2,LOUISVILLE
2016,Josh Herman,185,,51.4,IDAHO
2016,Michael Giacone,121,,47.8,BOSTON COL
2016,Isaac James-Gray,190,,45.1,INDIANA
2016,Randall Smith,320,,55.1,TULSA
2016,Brady Strodtbeck,185,,57.6,IDAHO
2016,Avery Johnson,113,,41.7,ARK STATE
2016,Lynn Griffin,176,,53.2,GA TECH
2016,Jelani Roberts,256,,55.9,NWESTERN
2016,Grant Newell,262,,55.2,OKLA STATE
2016,Xavier Burke,337,,57.6,VA TECH
2016,LeVander Brown,285,,37.2,S JOSE ST
2016,Darian Williams,102,,57.1,AKRON
2017,Alfonso Onunwor,185,,81.1,IDAHO
2017,Jacob Sannon,185,,69.3,IDAHO
2017,Marcell Ateman,262,,87.9,OKLA STATE
2017,Allenzae Staggers,296,,63.2,SO MISS
2017,Mikah Holder,284,,84.9,S DIEGO ST
2017,Trever Ryen,193,,73.1,IOWA STATE
2017,Devin C. Butler,304,,46.5,SYRACUSE
2017,David Ungerer III,185,,64.3,IDAHO
2017,Conner Cramer,242,,62.9,NEW MEX ST
2017,Johnnie Niupalau,160,,60.3,E MICHIGAN
2017,KJ Stepherson,258,,73.9,NOTRE DAME
