year,player,pff_id,rush_grade,rec_grade,team
2021,Isaiah Gash,222,60.9,,MICHIGAN
2021,Stone Smartt,263,63,58.9,DOMINION
2021,Joshua Fleeks,118,59.7,68.4,BAYLOR
2021,B.J. Casteel,109,71.4,52.2,ARIZONA
2021,Derik LeCaptain,225,69.2,61.7,MINNESOTA
2021,Jairus Mack,136,55.3,71.5,CHARLOTTE
2021,Charlie Norman,209,55.3,59.5,LA MONROE
2021,Reggie Todd,318,69.4,62.8,TROY
2021,BK Jackson,251,58.2,,N TEXAS
2021,Joshua Edwards,113,58.4,58.3,ARK STATE
2021,Pokey Wilson,167,,61.3,FLORIDA ST
2021,Philip Cole,259,57.5,57.7,OHIO
2021,Erik Krommenhoek,326,60,49,USC
2021,Zahn Diaz,296,60,58.1,SO MISS
2021,Mikey Alfieri,265,70.3,,OREGON ST
2021,JP Richardson,262,,65.7,OKLA STATE
2021,Nasjzae Bryant-Lelei,180,57.7,,HAWAII
2021,Loronzo Thompson,251,69.4,47.6,N TEXAS
2021,Calvin Johnson II,256,48.6,,NWESTERN
2021,Ay'Jaun Marshall,114,67.5,61.4,ARMY
2021,Allie Brown,174,59.1,,GA SOUTHRN
2021,JuanCarlos Santana,320,63.1,68.3,TULSA
2021,Tyetus Smith-Lindsey,321,59.5,,UAB
2021,Joshua Hardeman,351,59.6,61.1,WYOMING
2021,Michael Parrott,220,63.5,51.4,MIAMI FL
2022,Nathaniel Jones,241,65.4,60.3,NEW MEXICO
2022,Woody Marks,227,86,62.7,MISS STATE
2022,Jay Ducker,218,82.5,60.5,MEMPHIS
2022,Jordan Byrd,284,69.6,57.4,S DIEGO ST
2022,Kay'Ron Lynch-Adams,216,73.6,44.9,UMASS
2022,EJ Wilson Jr.,166,71.7,71.2,FIU
2022,Trey Cooley,210,75.7,65.1,LOUISVILLE
2022,Nasjzae Bryant-Lelei,180,79.5,64.7,HAWAII
2022,Demie Sumo-Karngbaye,248,78.7,66.9,NC STATE
2022,Joey Braasch,351,54.2,55.6,WYOMING
2022,Ay'Jaun Marshall,114,83.4,50.4,ARMY
2022,Cam'ron Barfield,121,58.3,45.7,BOSTON COL
2022,Mason King,254,69,59.1,N ILLINOIS
2022,Isaiah Gash,222,77.4,65.7,MICHIGAN
2022,Allie Brown,174,64.9,54.8,GA SOUTHRN
2022,Chip Trayanum,260,74.5,69.2,OHIO STATE
2022,Jayshon Jackson,117,66.4,71.8,BALL ST
2022,Maurice Bellan,114,70.7,52.5,ARMY
2022,BK Jackson,251,73.5,55.8,N TEXAS
2022,Juwaun Price,304,63.6,58.8,SYRACUSE
2022,Devaughn Mortimer,209,61.7,59.8,LA MONROE
2022,Mark Anthony Scott Jr.,126,57.4,58,BUFFALO
2022,DeaJaun McDougle,319,73.9,58.8,TULANE
2022,Chuck Montgomery,214,68.3,62.7,MARSHALL
2022,OJ Hiliare,122,53.3,68.8,BOWL GREEN
2022,Preston Jelen,225,69.6,28.5,MINNESOTA
2022,Dash Luke,209,60.7,66.5,LA MONROE
2022,Emmanuel Abdallah,314,58.9,,TEXAS ST
2022,Jimmie Haywood,296,71.3,,SO MISS
2022,Elijah Hopkins,141,71.9,58.8,COAST CAR
2022,Jarvis Griffiths,122,60.2,,BOWL GREEN
2022,Joshua Fleeks,118,57.3,77.2,BAYLOR
2022,Trilion Coles,323,56.4,57.8,UCF
2022,Charlie Norman,209,61.8,79.5,LA MONROE
2022,J.Michael Sturdivant,130,56.3,70.6,CAL
2022,Hahsaun Wilson,136,63.5,,CHARLOTTE
2022,DJ Thomas-Jones,288,,55.8,S ALABAMA
2022,Jermaine Johnson Jr.,216,57.5,38.5,UMASS
2022,Ty Jones,169,,51.7,FRESNO ST
2022,Tony Grimes Jr.,102,61.9,59.1,AKRON
2022,Michael Brown Stephens,225,57.9,62.8,MINNESOTA
2022,Amin Hassan,237,60,52.1,NAVY
2023,Kay'Ron Lynch-Adams,216,85.1,54.4,UMASS
2023,Woody Marks,227,81.2,80.7,MISS STATE
2023,Chip Trayanum,260,76.8,60.2,OHIO STATE
2023,Trey Cooley,176,69.1,45.8,GA TECH
2023,Hahsaun Wilson,136,81.2,54.6,CHARLOTTE
2023,Juwaun Price,304,66.4,52.6,SYRACUSE
2023,Bill Davis,207,81.3,56.7,LA LAFAYET
2023,Nasjzae Bryant-Lelei,180,65.4,59.2,HAWAII
2023,Charlie Norman,209,74.1,30.1,LA MONROE
2023,Demie Sumo-Karngbaye,202,75.5,63.9,KENTUCKY
2023,Ay'Jaun Marshall,114,78.4,54.8,ARMY
2023,Joshua Fleeks,238,76.5,80,NEBRASKA
2023,Brock Lampe,254,64.4,61.6,N ILLINOIS
2023,Solo Vaipulu,180,61.9,48.1,HAWAII
2023,Amin Hassan,237,64.5,44.3,NAVY
2023,EJ Wilson Jr.,306,63,63.4,TEMPLE
2023,Quintrevion Wisner,311,80.1,56.9,TEXAS
2023,Cam'ron Barfield,121,57.1,52.8,BOSTON COL
2023,Landan Brown,281,52,57.9,SM HOUSTON
2023,Jay Ducker,218,71.8,61.2,MEMPHIS
2023,Kaden Moorman,210,67.9,,LOUISVILLE
2023,John Branham Jr.,304,55.6,,SYRACUSE
2023,Devaughn Mortimer,209,68.7,65.4,LA MONROE
2023,Skip Velotta,258,66.3,,NOTRE DAME
2023,JP Richardson,305,62.2,76,TCU
